"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","US_005 Verify that the functions in the body of the home page are active","TC 113 Verify that more products are displayed when we hit the Load More button","0","0","1","0","0"
"","US00101 Bir kullanıcı olarak ana sayfaya erişebilmeliyim","TC0102 Siteye girerken title'ın Trendlifebuy Online Shopping olduğundan emin olunmalıdır.","0","0","1","0","0"
"","Bir kullanici olarak siparislerimle ilgili islemleri gerceklestirebilmek icin","US_017--> TC001 - Dashboard sayfasinda bulunan side bar'daki My Order linkinin","0","0","1","0","0"
"","Bir yönetici olarak site kullanicilari icin gift cardlar hazirlamak,","US_036 --> TC_002 Verify that the Gift Card List is visible on the Gift Card List page.","0","0","1","0","0"
"","Bir kullanici olarak alisveris yaparken satin almayi dusundugum ürünleri atacagim","US_010 --> TC_002 - Quantity bölümünden alınacak ürünün adedinin degistirilebildigi dogrulanmali.","0","0","1","0","0"
"","US_037 - Bir yönetici olarak sitedeki aktivite verilerinin daha anlasilabilir","US_037 --> TC_004 -Top 10 Product, New Customers, Recently Added Products, Top Refferers, Latest Order,","0","0","1","0","0"
"","US_005 Verify that the functions in the body of the home page are active","TC 112 Verify that the More Deals button redirects to the relevant page","0","0","1","0","0"
"","Verify that the functions in the top menu of the home page are active","TC_002--->(US_002) Track Your Order button should lead to the relevant page","0","0","1","0","0"
"","US_038 Bir yönetici olarak sitede kullanilan keywordler hakkindaki raporlari görebilecegim bir sayfanin olmasini istiyorum","US_038--->TC_03801 Quick Search TextBOx'i ile Keyword search report listesinde arama yapilabildigi dogrulanmali","1","0","0","0","0"
"","Bir yönetici olarak site kullanicilari icin gift cardlar hazirlamak,","US_036 --> TC_001 It should be verified that the Gift Card List page is accessible from the","0","0","1","0","0"
"","All Categories menüsü altındaki tüm kategorilerin görünür ve aktif olduğunu doğrulayın.","TC_002-Computer & Accessories, Electronics Devices,","0","0","1","0","0"
"","Bir kullanici olarak siparislerimle ilgili islemleri gerceklestirebilmek icin","US_017--> TC002 - My Order sayfasinda siparislerimi gormek ister","0","0","1","0","0"
"","US_041 - US_041 - Bir yönetici olarak acilan support ticketleri ile ilgili","US_041 --> TC_009 - Support Ticket sayfasinda User List dropdown'dan","0","0","1","0","0"
"","As a user, I would like to have a page where I can compare similar products on the site.","TC_122 When the Reset Compare button is clicked, it should be verified that the products selected for comparison are deleted from the Compare page.","0","1","0","0","0"
"","US00101 Bir kullanıcı olarak ana sayfaya erişebilmeliyim","TC0101 URL girildiğinde ana sayfa erişilebilir olmalıdır.","0","0","1","0","0"
"","US_005 Verify that the functions in the body of the home page are active","TC_110 Trending Products,Hot Categories,House Appliances,Recommendation For You,Top Brand,Popular Searches,Trendlifebuy|Verify that ONLINE SHOPPING are visible","0","0","1","0","0"
"","US_005 Verify that the functions in the body of the home page are active","TC 111 Verify that the View All button redirects to the relevant page","0","0","1","0","0"
"","Verify that the functions in the top menu of the home page are active","TC_001--->(US_002) Play store and apple store buttons should redirect to the relevant page","0","0","1","0","0"
"","Bir kullanici olarak alisveris yaparken satin almayi dusundugum ürünleri atacagim","US_010 --> TC_001 - Shipping charge free from,","0","0","1","0","0"
